"Country or Area Code","Country or Area","Year","Value"
"ARG","Argentina","1970","0"
"ARG","Argentina","1965","0"
"ARG","Argentina","1960","0"
"ARM","Armenia","2007","1876411"
"ARM","Armenia","2006","1259762"
"ARM","Armenia","2005","318044"
"ARM","Armenia","2004","203309"
"ARM","Armenia","2003","114379"
"ARM","Armenia","2002","71349"
"ARM","Armenia","2001","25504"
"ARM","Armenia","2000","17486"
"ARM","Armenia","1999","8161"
"ARM","Armenia","1998","7831"
"ARM","Armenia","1997","5000"
"ARM","Armenia","1996","300"
"ARM","Armenia","1995","0"
"ARM","Armenia","1994","0"
"ARM","Armenia","1993","0"
"ARM","Armenia","1992","0"
"ARM","Armenia","1991","0"
"ARM","Armenia","1990","0"
"ARM","Armenia","1989","0"
"ARM","Armenia","1988","0"
"ARM","Armenia","1987","0"
"ARM","Armenia","1986","0"
"ARM","Armenia","1985","0"
"ARM","Armenia","1984","0"
"ARM","Armenia","1983","0"
"ARM","Armenia","1982","0"
"ARM","Armenia","1981","0"
"ARM","Armenia","1980","0"
"ARM","Armenia","1979","0"
"ARM","Armenia","1978","0"
"ARM","Armenia","1977","0"
"ARM","Armenia","1976","0"
"ARM","Armenia","1975","0"
"ARM","Armenia","1970","0"
"ARM","Armenia","1965","0"
"ARM","Armenia","1960","0"
"ABW","Aruba","2008","127066"
"ABW","Aruba","2007","145829"
"ABW","Aruba","2006","135481"
"ABW","Aruba","2005","103417"
"ABW","Aruba","2004","98389"
"ABW","Aruba","2003","69952"
"ABW","Aruba","2002","61800"
"ABW","Aruba","2001","53000"
"ABW","Aruba","2000","15000"
"ABW","Aruba","1999","12000"
"ABW","Aruba","1998","5380"
"ABW","Aruba","1997","3402"
"ABW","Aruba","1996","3000"
"ABW","Aruba","1995","1718"
"ABW","Aruba","1992","20"
"ABW","Aruba","1991","0"
"ABW","Aruba","1990","0"
"ABW","Aruba","1989","0"
"ABW","Aruba","1988","0"
"ABW","Aruba","1987","0"
"ABW","Aruba","1986","0"
"ABW","Aruba","1985","0"
"ABW","Aruba","1984","0"
"ABW","Aruba","1983","0"
"ABW","Aruba","1982","0"
"ABW","Aruba","1981","0"
"ABW","Aruba","1980","0"
"ABW","Aruba","1979","0"
"ABW","Aruba","1978","0"
"ABW","Aruba","1977","0"
"ABW","Aruba","1976","0"
"ABW","Aruba","1975","0"
"ABW","Aruba","1970","0"
"ABW","Aruba","1965","0"
"ABW","Aruba","1960","0"
"AUS","Australia","2008","2.212E+07"
"AUS","Australia","2007","2.126E+07"
"AUS","Australia","2006","1.976E+07"
"AUS","Australia","2005","1.842E+07"
"AUS","Australia","2004","1.648E+07"
"AUS","Australia","2003","1.4347E+07"
"AUS","Australia","2002","1.267E+07"
"AUS","Australia","2001","1.1132E+07"
"AUS","Australia","2000","8562000"
"AUS","Australia","1999","6315000"
"AUS","Australia","1998","4918000"
"AUS","Australia","1997","4578000"
"AUS","Australia","1996","3990000"
"AUS","Australia","1995","2242000"
"AUS","Australia","1994","1220000"
"AUS","Australia","1993","690000"
"AUS","Australia","1992","497000"
"AUS","Australia","1991","291459"
"AUS","Australia","1990","184943"
"AUS","Australia","1989","94529"
"AUS","Australia","1988","31622"
"AUS","Australia","1987","4423"
"AUS","Australia","1986","0"
"AUS","Australia","1985","0"
"AUS","Australia","1984","0"
"AUS","Australia","1983","0"
"AUS","Australia","1982","0"
"AUS","Australia","1981","0"
"AUS","Australia","1980","0"
"AUS","Australia","1979","0"
"AUS","Australia","1978","0"
"AUS","Australia","1977","0"
"AUS","Australia","1976","0"
"AUS","Australia","1975","0"
"AUS","Australia","1970","0"
"AUS","Australia","1965","0"
"AUS","Australia","1960","0"
"AUT","Austria","2008","1.0816E+07"
"AUT","Austria","2007","9912000"
"AUT","Austria","2006","9281000"
"AUT","Austria","2005","8665000"
"AUT","Austria","2004","7992000"
"AUT","Austria","2003","7274000"
"AUT","Austria","2002","6736000"
"AUT","Austria","2001","6541000"
"AUT","Austria","2000","6117000"
"AUT","Austria","1999","4250393"
"AUT","Austria","1998","2292900"
"AUT","Austria","1997","1159700"
"AUT","Austria","1996","598708"
"AUT","Austria","1995","383535"
"AUT","Austria","1994","278199"
"AUT","Austria","1993","220859"
"AUT","Austria","1992","172453"
"AUT","Austria","1991","115402"
"AUT","Austria","1990","73698"
"AUT","Austria","1989","50721"
"AUT","Austria","1988","36904"
"AUT","Austria","1987","26223"
"AUT","Austria","1986","19104"
"AUT","Austria","1985","9762"
"AUT","Austria","1984","0"
"AUT","Austria","1983","0"
"AUT","Austria","1982","0"
"AUT","Austria","1981","0"
"AUT","Austria","1980","0"
"AUT","Austria","1979","0"
"AUT","Austria","1978","0"
"AUT","Austria","1977","0"
"AUT","Austria","1976","0"
"AUT","Austria","1975","0"
"AUT","Austria","1970","0"
"AUT","Austria","1965","0"
"AUT","Austria","1960","0"
"AZE","Azerbaijan","2008","6548000"
"AZE","Azerbaijan","2007","4519000"
"AZE","Azerbaijan","2006","3232500"
"AZE","Azerbaijan","2005","2242000"
"AZE","Azerbaijan","2004","1456523"
"AZE","Azerbaijan","2003","1057100"
"AZE","Azerbaijan","2002","794200"
"AZE","Azerbaijan","2001","730000"
"AZE","Azerbaijan","2000","420400"
"AZE","Azerbaijan","1999","370000"
"AZE","Azerbaijan","1998","65000"
"AZE","Azerbaijan","1997","40000"
"AZE","Azerbaijan","1996","17000"
"AZE","Azerbaijan","1995","6000"
"AZE","Azerbaijan","1994","500"
"AZE","Azerbaijan","1993","0"
"AZE","Azerbaijan","1992","0"
"AZE","Azerbaijan","1991","0"
"AZE","Azerbaijan","1990","0"
"AZE","Azerbaijan","1989","0"
"AZE","Azerbaijan","1988","0"
"AZE","Azerbaijan","1987","0"
"AZE","Azerbaijan","1986","0"
"AZE","Azerbaijan","1985","0"
"AZE","Azerbaijan","1984","0"
"AZE","Azerbaijan","1983","0"
"AZE","Azerbaijan","1982","0"
"AZE","Azerbaijan","1981","0"
"AZE","Azerbaijan","1980","0"
"AZE","Azerbaijan","1979","0"
"AZE","Azerbaijan","1978","0"
"AZE","Azerbaijan","1977","0"
"AZE","Azerbaijan","1976","0"
"AZE","Azerbaijan","1975","0"
"AZE","Azerbaijan","1970","0"
"AZE","Azerbaijan","1965","0"
"AZE","Azerbaijan","1960","0"
"BHS","Bahamas","2008","358050"
"BHS","Bahamas","2007","373999"
"BHS","Bahamas","2006","252987"
"BHS","Bahamas","2005","227771"
"BHS","Bahamas","2004","186007"
"BHS","Bahamas","2003","122228"
"BHS","Bahamas","2002","121759"
"BHS","Bahamas","2001","60555"
"BHS","Bahamas","2000","31524"
"BHS","Bahamas","1999","15911"
"BHS","Bahamas","1998","8072"
"BHS","Bahamas","1997","6200"
"BHS","Bahamas","1996","4948"
"BHS","Bahamas","1995","4100"
"BHS","Bahamas","1993","2401"
"BHS","Bahamas","1992","2600"
"BHS","Bahamas","1991","2020"
"BHS","Bahamas","1990","1922"
"BHS","Bahamas","1989","0"
"BHS","Bahamas","1988","0"
"BHS","Bahamas","1987","0"
"BHS","Bahamas","1986","0"
"BHS","Bahamas","1985","0"
"BHS","Bahamas","1984","0"
"BHS","Bahamas","1983","0"
"BHS","Bahamas","1982","0"
"BHS","Bahamas","1981","0"
"BHS","Bahamas","1980","0"
"BHS","Bahamas","1979","0"
"BHS","Bahamas","1978","0"
"BHS","Bahamas","1977","0"
"BHS","Bahamas","1976","0"
"BHS","Bahamas","1975","0"
"BHS","Bahamas","1970","0"
"BHS","Bahamas","1965","0"
"BHS","Bahamas","1960","0"
"BHR","Bahrain","2008","1400000"
"BHR","Bahrain","2007","1116000"
"BHR","Bahrain","2006","907433"
"BHR","Bahrain","2005","767103"
"BHR","Bahrain","2004","649764"
"BHR","Bahrain","2003","443109"
"BHR","Bahrain","2002","388990"
"BHR","Bahrain","2001","299587"
"BHR","Bahrain","2000","205727"
"BHR","Bahrain","1999","133468"
"BHR","Bahrain","1998","92063"
"BHR","Bahrain","1997","58543"
"BHR","Bahrain","1996","40080"
"BHR","Bahrain","1995","27600"
"BHR","Bahrain","1994","17616"
"BHR","Bahrain","1993","11360"
"BHR","Bahrain","1992","9683"
"BHR","Bahrain","1991","7354"
"BHR","Bahrain","1990","5147"
"BHR","Bahrain","1989","4251"
"BHR","Bahrain","1988","2886"
"BHR","Bahrain","1987","1712"
"BHR","Bahrain","1986","618"
"BHR","Bahrain","1985","0"
"BHR","Bahrain","1984","0"
"BHR","Bahrain","1983","0"
"BHR","Bahrain","1982","0"
"BHR","Bahrain","1981","0"
"BHR","Bahrain","1980","0"
"BHR","Bahrain","1979","0"
"BHR","Bahrain","1978","0"
"BHR","Bahrain","1977","0"
"BHR","Bahrain","1976","0"
"BHR","Bahrain","1975","0"
"BHR","Bahrain","1970","0"
"BHR","Bahrain","1965","0"
"BHR","Bahrain","1960","0"
"BGD","Bangladesh","2008","4.464E+07"
"BGD","Bangladesh","2007","3.437E+07"
"BGD","Bangladesh","2006","1.913098E+07"
"BGD","Bangladesh","2005","9000000"
"BGD","Bangladesh","2004","2781560"
"BGD","Bangladesh","2003","1365000"
"BGD","Bangladesh","2002","1075000"
"BGD","Bangladesh","2001","520000"
"BGD","Bangladesh","2000","279000"
"BGD","Bangladesh","1999","149000"
"BGD","Bangladesh","1998","75000"
"BGD","Bangladesh","1997","26000"
"BGD","Bangladesh","1996","4000"
"BGD","Bangladesh","1995","2500"
"BGD","Bangladesh","1994","1104"
"BGD","Bangladesh","1993","500"
"BGD","Bangladesh","1992","250"
"BGD","Bangladesh","1991","0"
"BGD","Bangladesh","1990","0"
"BGD","Bangladesh","1989","0"
"BGD","Bangladesh","1988","0"
"BGD","Bangladesh","1987","0"
"BGD","Bangladesh","1986","0"
"BGD","Bangladesh","1985","0"
"BGD","Bangladesh","1984","0"
"BGD","Bangladesh","1983","0"
"BGD","Bangladesh","1982","0"
"BGD","Bangladesh","1981","0"
"BGD","Bangladesh","1980","0"
"BGD","Bangladesh","1979","0"
"BGD","Bangladesh","1978","0"
"BGD","Bangladesh","1977","0"
"BGD","Bangladesh","1976","0"
"BGD","Bangladesh","1975","0"
"BGD","Bangladesh","1970","0"
"BGD","Bangladesh","1965","0"
"BGD","Bangladesh","1960","0"
"BRB","Barbados","2006","237119"
"BRB","Barbados","2005","206190"
"BRB","Barbados","2004","200138"
"BRB","Barbados","2003","140000"
"BRB","Barbados","2002","97193"
"BRB","Barbados","2001","53111"
"BRB","Barbados","2000","28467"
"BRB","Barbados","1999","20309"
"BRB","Barbados","1998","12000"
"BRB","Barbados","1997","8013"
"BRB","Barbados","1996","6283"
"BRB","Barbados","1995","4614"
"BRB","Barbados","1994","2967"
"BRB","Barbados","1993","1560"
"BRB","Barbados","1992","796"
"BRB","Barbados","1991","486"
"BRB","Barbados","1990","0"
"BRB","Barbados","1989","0"
"BRB","Barbados","1988","0"
"BRB","Barbados","1987","0"
"BRB","Barbados","1986","0"
"BRB","Barbados","1985","0"
"BRB","Barbados","1984","0"
"BRB","Barbados","1983","0"
"BRB","Barbados","1982","0"
"BRB","Barbados","1981","0"
"BRB","Barbados","1980","0"
"BRB","Barbados","1979","0"
"BRB","Barbados","1978","0"
"BRB","Barbados","1977","0"
"BRB","Barbados","1976","0"
"BRB","Barbados","1975","0"
"BRB","Barbados","1970","0"
"BRB","Barbados","1965","0"
"BRB","Barbados","1960","0"
"BLR","Belarus","2007","6960000"
"BLR","Belarus","2006","5960000"
"BLR","Belarus","2005","4099500"
"BLR","Belarus","2004","2239287"
"BLR","Belarus","2003","1118000"
"BLR","Belarus","2002","462630"
"BLR","Belarus","2001","138329"
"BLR","Belarus","2000","49353"
"BLR","Belarus","1999","23457"
"BLR","Belarus","1998","12155"
"BLR","Belarus","1997","8167"
"BLR","Belarus","1996","6548"
"BLR","Belarus","1995","5897"
"BLR","Belarus","1994","1724"
"BLR","Belarus","1993","324"
"BLR","Belarus","1992","0"
"BLR","Belarus","1991","0"
"BLR","Belarus","1990","0"
"BLR","Belarus","1989","0"
"BLR","Belarus","1988","0"
"BLR","Belarus","1987","0"
"BLR","Belarus","1986","0"
"BLR","Belarus","1985","0"
"BLR","Belarus","1984","0"
"BLR","Belarus","1983","0"
"BLR","Belarus","1982","0"
"BLR","Belarus","1981","0"
"BLR","Belarus","1980","0"
"BLR","Belarus","1979","0"
"BLR","Belarus","1978","0"
"BLR","Belarus","1977","0"
"BLR","Belarus","1976","0"
"BLR","Belarus","1975","0"
"BLR","Belarus","1970","0"
"BLR","Belarus","1965","0"
"BLR","Belarus","1960","0"
"BEL","Belgium","2008","1.182219E+07"
"BEL","Belgium","2007","1.073812E+07"
"BEL","Belgium","2006","9847375"
"BEL","Belgium","2005","9604695"
"BEL","Belgium","2004","9131705"
"BEL","Belgium","2003","8605834"
"BEL","Belgium","2002","8101777"
"BEL","Belgium","2001","7697000"
"BEL","Belgium","2000","5629000"
"BEL","Belgium","1999","3186602"
"BEL","Belgium","1998","1756287"
"BEL","Belgium","1997","974494"
"BEL","Belgium","1996","478172"
"BEL","Belgium","1995","235258"
"BEL","Belgium","1994","128071"
"BEL","Belgium","1993","67771"
"BEL","Belgium","1992","61460"
"BEL","Belgium","1991","51420"
"BEL","Belgium","1990","42880"
"BEL","Belgium","1989","30791"
"BEL","Belgium","1988","19154"
"BEL","Belgium","1987","7223"
"BEL","Belgium","1986","3798"
"BEL","Belgium","1985","0"
"BEL","Belgium","1984","0"
"BEL","Belgium","1983","0"
"BEL","Belgium","1982","0"
"BEL","Belgium","1981","0"
"BEL","Belgium","1980","0"
"BEL","Belgium","1979","0"
"BEL","Belgium","1978","0"
"BEL","Belgium","1977","0"
"BEL","Belgium","1976","0"
"BEL","Belgium","1975","0"
"BEL","Belgium","1970","0"
"BEL","Belgium","1965","0"
"BEL","Belgium","1960","0"
"BLZ","Belize","2008","160032"
"BLZ","Belize","2007","118314"
"BLZ","Belize","2006","121176"
"BLZ","Belize","2005","119558"
"BLZ","Belize","2004","91663"
"BLZ","Belize","2003","60403"
"BLZ","Belize","2002","51729"
"BLZ","Belize","2001","39155"
"BLZ","Belize","2000","16812"
"BLZ","Belize","1999","6591"
"BLZ","Belize","1998","3535"
"BLZ","Belize","1997","2544"
"BLZ","Belize","1996","2184"
"BLZ","Belize","1995","1547"
"BLZ","Belize","1994","832"
"BLZ","Belize","1993","400"
"BLZ","Belize","1992","0"
"BLZ","Belize","1991","0"
"BLZ","Belize","1990","0"
"BLZ","Belize","1989","0"
"BLZ","Belize","1988","0"
"BLZ","Belize","1987","0"
"BLZ","Belize","1986","0"
"BLZ","Belize","1985","0"
"BLZ","Belize","1984","0"
"BLZ","Belize","1983","0"
"BLZ","Belize","1982","0"
"BLZ","Belize","1981","0"
"BLZ","Belize","1980","0"
"BLZ","Belize","1979","0"
"BLZ","Belize","1978","0"
"BLZ","Belize","1977","0"
"BLZ","Belize","1976","0"
"BLZ","Belize","1975","0"
"BLZ","Belize","1970","0"
"BLZ","Belize","1965","0"
"BLZ","Belize","1960","0"
"BEN","Benin","2008","3435000"
"BEN","Benin","2007","1904334"
"BEN","Benin","2006","1055727"
"BEN","Benin","2005","596267"
"BEN","Benin","2004","459322"
"BEN","Benin","2003","236175"
"BEN","Benin","2002","218770"
"BEN","Benin","2001","125000"
"BEN","Benin","2000","55476"
"BEN","Benin","1999","7269"
"BEN","Benin","1998","6286"
"BEN","Benin","1997","4295"
"BEN","Benin","1996","2707"
"BEN","Benin","1995","1050"
"BEN","Benin","1994","0"
"BEN","Benin","1993","0"
"BEN","Benin","1992","0"
"BEN","Benin","1991","0"
"BEN","Benin","1990","0"
"BEN","Benin","1989","0"
"BEN","Benin","1988","0"
"BEN","Benin","1987","0"
"BEN","Benin","1986","0"
"BEN","Benin","1985","0"
"BEN","Benin","1984","0"
"BEN","Benin","1983","0"
"BEN","Benin","1982","0"
"BEN","Benin","1981","0"
"BEN","Benin","1980","0"
"BEN","Benin","1979","0"
"BEN","Benin","1978","0"
"BEN","Benin","1977","0"
"BEN","Benin","1976","0"
"BEN","Benin","1975","0"
"BEN","Benin","1970","0"
"BEN","Benin","1965","0"
"BEN","Benin","1960","0"
"BMU","Bermuda","2006","60100"
"BMU","Bermuda","2005","52720"
"BMU","Bermuda","2004","49000"
"BMU","Bermuda","2003","40000"
"BMU","Bermuda","2002","30000"
"BMU","Bermuda","2001","13333"
"BMU","Bermuda","2000","13000"
"BMU","Bermuda","1999","12800"
"BMU","Bermuda","1998","12572"
"BMU","Bermuda","1997","10276"
"BMU","Bermuda","1996","7980"
"BMU","Bermuda","1995","6324"
"BMU","Bermuda","1994","5127"
"BMU","Bermuda","1993","3400"
"BMU","Bermuda","1992","1936"
"BMU","Bermuda","1991","1440"
"BMU","Bermuda","1990","1112"
"BMU","Bermuda","1989","745"
"BMU","Bermuda","1986","0"
"BMU","Bermuda","1985","0"
"BMU","Bermuda","1984","0"
"BMU","Bermuda","1983","0"
"BMU","Bermuda","1982","0"
"BMU","Bermuda","1981","0"
"BMU","Bermuda","1980","0"
"BMU","Bermuda","1979","0"
"BMU","Bermuda","1978","0"
"BMU","Bermuda","1977","0"
"BMU","Bermuda","1976","0"
"BMU","Bermuda","1975","0"
"BMU","Bermuda","1970","0"
"BMU","Bermuda","1965","0"
"BMU","Bermuda","1960","0"
"BTN","Bhutan","2008","251000"
"BTN","Bhutan","2007","149439"
"BTN","Bhutan","2006","82078"
"BTN","Bhutan","2005","36000"
"BTN","Bhutan","2004","19138"
"BTN","Bhutan","2003","2255"
"BTN","Bhutan","2002","0"
"BTN","Bhutan","2001","0"
"BTN","Bhutan","2000","0"
"BTN","Bhutan","1999","0"
"BTN","Bhutan","1998","0"
"BTN","Bhutan","1997","0"
"BTN","Bhutan","1996","0"
"BTN","Bhutan","1995","0"
"BTN","Bhutan","1994","0"
"BTN","Bhutan","1993","0"
"BTN","Bhutan","1992","0"
"BTN","Bhutan","1991","0"
"BTN","Bhutan","1990","0"
"BTN","Bhutan","1989","0"
"BTN","Bhutan","1988","0"
"BTN","Bhutan","1987","0"
"BTN","Bhutan","1986","0"
"BTN","Bhutan","1985","0"
"BTN","Bhutan","1984","0"
"BTN","Bhutan","1983","0"
